outline_order,outline_id,document_id,filename,product_model,heading_block_id,heading_text,section_path,parent_section_path,parent_outline_id,depth,is_leaf_outline,child_outline_count,descendant_outline_count,direct_text_block_count,descendant_text_block_count,direct_question_candidate_count,descendant_question_candidate_count,direct_char_count,descendant_char_count,direct_token_estimate,descendant_token_estimate,page_start,page_end,page_bin,table_figure_block_count,exact_duplicate_block_count,template_duplicate_block_count,direct_block_ids,descendant_block_ids,direct_source_frame_ids,question_outline_allowed,review_reason
103,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:4fd6419a72655606,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,1616a02f-855d-5d9b-9f4a-186d55437ea8,Specify a DNS account that you already created,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Your personal FTP server > Specify a DNS account that you already created,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Your personal FTP server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:f7f6aa19ecfc8aee,3,True,0,0,1,1,1,1,1583,1583,396,396,106,107,P3,0,1,1,9acc9454-6ed4-5e0b-b834-bfcc7e38529f,9acc9454-6ed4-5e0b-b834-bfcc7e38529f,d363d52d-99b4-4258-9e83-eca4fbdf4722:9acc9454-6ed4-5e0b-b834-bfcc7e38529f,True,leaf outline with direct text candidate
104,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:41c38c5c103d0448,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,304dc394-85c4-594f-a1bf-af2d9e8d7ee6,Change the Dynamic DNS settings,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Your personal FTP server > Change the Dynamic DNS settings,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Your personal FTP server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:f7f6aa19ecfc8aee,3,True,0,0,1,1,1,1,673,673,169,169,107,108,P3,0,1,1,4e9903cc-4ad7-5bcf-af85-87b219f54a4e,4e9903cc-4ad7-5bcf-af85-87b219f54a4e,d363d52d-99b4-4258-9e83-eca4fbdf4722:4e9903cc-4ad7-5bcf-af85-87b219f54a4e,True,leaf outline with direct text candidate
105,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:489c9ea9d0cb181d,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,89f7dfb6-21c3-5857-9d26-4716763dfa60,Access USB storage devices through the Internet,Use Dynamic DNS to Access USB Storage Devices Through the Internet > Access USB storage devices through the Internet,Use Dynamic DNS to Access USB Storage Devices Through the Internet,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d5e89fc6ddbdadb6,2,True,0,0,1,1,1,1,646,646,162,162,108,108,P3,0,0,1,e7ba5206-bd92-5449-a6d8-55b677f222ff,e7ba5206-bd92-5449-a6d8-55b677f222ff,d363d52d-99b4-4258-9e83-eca4fbdf4722:e7ba5206-bd92-5449-a6d8-55b677f222ff,True,leaf outline with direct text candidate
106,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:976cf87d300ab85b,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,ac2089ef-d449-53e6-a928-132e65e3e808,Use the Router as a Media Server,Use the Router as a Media Server,[ROOT],,1,False,3,5,1,6,1,6,179,7588,45,1900,109,114,P3,0,1,1,8899a1be-7743-5dfd-b57a-6daf94f20a80,8899a1be-7743-5dfd-b57a-6daf94f20a80;f2214074-d928-562c-afd1-eb15ec05d9e6;10572b97-0b15-53b9-a7a2-9ba93dbb012b;3caf3a59-14e5-5cc0-a7a6-f7d9ec0e1b91;87bbfe04-4eff-5911-879c-c7b27d6bcb7a;876c2bd9-9fcb-5896-b4e9-40402a02d313,d363d52d-99b4-4258-9e83-eca4fbdf4722:8899a1be-7743-5dfd-b57a-6daf94f20a80,False,"parent outline, heading-only, or no structural text candidate"
107,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ddb06c29e1a02460,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,bf1f1d50-6475-5566-9fe1-c2e1439aa4f9,Specify ReadyDLNA Media Server Settings,Use the Router as a Media Server > Specify ReadyDLNA Media Server Settings,Use the Router as a Media Server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:976cf87d300ab85b,2,True,0,0,1,1,1,1,1976,1976,494,494,110,111,P3,0,0,0,f2214074-d928-562c-afd1-eb15ec05d9e6,f2214074-d928-562c-afd1-eb15ec05d9e6,d363d52d-99b4-4258-9e83-eca4fbdf4722:f2214074-d928-562c-afd1-eb15ec05d9e6,True,leaf outline with direct text candidate
108,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:9ef2c2fe069feff9,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,1d30d020-79eb-5331-b045-98d97ad7b6f9,Play Music From a Storage Device With iTunes Server,Use the Router as a Media Server > Play Music From a Storage Device With iTunes Server,Use the Router as a Media Server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:976cf87d300ab85b,2,False,2,2,1,3,1,3,457,4244,115,1063,111,113,P3,0,1,1,10572b97-0b15-53b9-a7a2-9ba93dbb012b,10572b97-0b15-53b9-a7a2-9ba93dbb012b;3caf3a59-14e5-5cc0-a7a6-f7d9ec0e1b91;87bbfe04-4eff-5911-879c-c7b27d6bcb7a,d363d52d-99b4-4258-9e83-eca4fbdf4722:10572b97-0b15-53b9-a7a2-9ba93dbb012b,False,"parent outline, heading-only, or no structural text candidate"
109,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:e80986f43e8d9122,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,5fa8cb81-1290-5873-8bd0-bb49d8a3d4e2,Set Up the Router’s iTunes Server With iTunes,Use the Router as a Media Server > Play Music From a Storage Device With iTunes Server > Set Up the Router’s iTunes Server With iTunes,Use the Router as a Media Server > Play Music From a Storage Device With iTunes Server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:9ef2c2fe069feff9,3,True,0,0,1,1,1,1,1854,1854,464,464,111,112,P3,0,0,0,3caf3a59-14e5-5cc0-a7a6-f7d9ec0e1b91,3caf3a59-14e5-5cc0-a7a6-f7d9ec0e1b91,d363d52d-99b4-4258-9e83-eca4fbdf4722:3caf3a59-14e5-5cc0-a7a6-f7d9ec0e1b91,True,leaf outline with direct text candidate
110,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:286ec77ba10a2808,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,0b91f5d2-170e-5454-8777-46fc2d4898ce,Set Up the Router’s iTunes Server With the Remote App,Use the Router as a Media Server > Play Music From a Storage Device With iTunes Server > Set Up the Router’s iTunes Server With the Remote App,Use the Router as a Media Server > Play Music From a Storage Device With iTunes Server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:9ef2c2fe069feff9,3,True,0,0,1,1,1,1,1933,1933,484,484,112,113,P3,0,0,0,87bbfe04-4eff-5911-879c-c7b27d6bcb7a,87bbfe04-4eff-5911-879c-c7b27d6bcb7a,d363d52d-99b4-4258-9e83-eca4fbdf4722:87bbfe04-4eff-5911-879c-c7b27d6bcb7a,True,leaf outline with direct text candidate
111,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d42e7f3b3afc3d28,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,4dc159a2-462a-509d-9c73-56625e0aa9fc,Set Up the Router to Work With TiVo,Use the Router as a Media Server > Set Up the Router to Work With TiVo,Use the Router as a Media Server,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:976cf87d300ab85b,2,True,0,0,1,1,1,1,1189,1189,298,298,113,114,P3,0,0,0,876c2bd9-9fcb-5896-b4e9-40402a02d313,876c2bd9-9fcb-5896-b4e9-40402a02d313,d363d52d-99b4-4258-9e83-eca4fbdf4722:876c2bd9-9fcb-5896-b4e9-40402a02d313,True,leaf outline with direct text candidate
112,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,6982d711-a289-521c-b48a-f65dbb100e4d,Manage the WAN and LAN Network Settings,Manage the WAN and LAN Network Settings,[ROOT],,1,False,15,22,1,23,1,23,669,26917,168,6737,115,133,P3,0,4,4,884b0945-e0c1-5ac5-ab5e-f6762e5a8f7c,884b0945-e0c1-5ac5-ab5e-f6762e5a8f7c;91881d2f-b6d8-5db6-961e-d68c9e6b5271;ee3b0796-bb89-5c75-a3a0-910e67484f1e;8d7df806-ebdb-5595-9169-ceb85d0ba6e4;1bfde0d0-f076-56e6-9ecf-6bebc86b262f;3fbed70d-f242-5a78-90cc-f0f2674fe5f7;40b4bd71-0112-5dcc-8407-4977f2278416;b2b929c7-6625-5a91-b295-f5bcfed06e09;6d60f364-08eb-5ab8-b817-58f2ae142998;0732bf6a-a336-508e-9aab-9bb2ea05195d;e47b3d3d-859a-5d5d-ad99-c5e97e0e5866;2fe2c800-86be-5e48-a3a1-bcf5a38250a9;58705265-85c2-53cb-9a31-985904b45791;c9375949-fa5d-50d6-a813-d4c0d9974145;80e6eda0-2892-5cfd-949a-717b12f81332;4f7304d4-1472-5a82-8512-c3853e5ab437;a1d1498c-86bf-5b9e-877c-7f81e61ffb07;0af9a37b-b55e-5904-9be6-fe4fbad4271c;8e269a02-a216-5ac0-bfa3-4dc97d1a52d6;2c54b8a4-2815-5ad0-a55e-c353ee15b2c6;0c80bfa0-c243-53e3-8ba1-8ef14df71c4b;92de127d-5c3f-5d2a-a801-234fc3e5b014;1ff96edd-9a3b-5993-87c7-dc20a71f4ddf,d363d52d-99b4-4258-9e83-eca4fbdf4722:884b0945-e0c1-5ac5-ab5e-f6762e5a8f7c,False,"parent outline, heading-only, or no structural text candidate"
113,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d8540aadf3183eca,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,3f1588f0-2176-5c5b-ade5-ff89c3905719,Change the WiFi Mbps Settings,Manage the WAN and LAN Network Settings > Change the WiFi Mbps Settings,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,829,829,208,208,116,116,P3,0,0,0,91881d2f-b6d8-5db6-961e-d68c9e6b5271,91881d2f-b6d8-5db6-961e-d68c9e6b5271,d363d52d-99b4-4258-9e83-eca4fbdf4722:91881d2f-b6d8-5db6-961e-d68c9e6b5271,True,leaf outline with direct text candidate
114,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:d0e92fbb7b4ec8b1,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,5aa0d4b2-a6cc-58a0-9b3b-3519e0685878,Manage the WAN Security Settings,Manage the WAN and LAN Network Settings > Manage the WAN Security Settings,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1272,1272,318,318,116,117,P3,0,0,0,ee3b0796-bb89-5c75-a3a0-910e67484f1e,ee3b0796-bb89-5c75-a3a0-910e67484f1e,d363d52d-99b4-4258-9e83-eca4fbdf4722:ee3b0796-bb89-5c75-a3a0-910e67484f1e,True,leaf outline with direct text candidate
115,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:0b4ef443dc2562c4,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,3244d0f2-1c9c-5a73-8964-a7c38aa1e28e,Set up a default DMZ server,Manage the WAN and LAN Network Settings > Set up a default DMZ server,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1752,1752,438,438,117,118,P3,0,1,1,8d7df806-ebdb-5595-9169-ceb85d0ba6e4,8d7df806-ebdb-5595-9169-ceb85d0ba6e4,d363d52d-99b4-4258-9e83-eca4fbdf4722:8d7df806-ebdb-5595-9169-ceb85d0ba6e4,True,leaf outline with direct text candidate
116,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:6e9be754f012c9d3,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,6a851993-154e-5333-bd73-a22a53e8c722,Manage IGMP Proxying,Manage the WAN and LAN Network Settings > Manage IGMP Proxying,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,908,908,227,227,118,119,P3,0,0,0,1bfde0d0-f076-56e6-9ecf-6bebc86b262f,1bfde0d0-f076-56e6-9ecf-6bebc86b262f,d363d52d-99b4-4258-9e83-eca4fbdf4722:1bfde0d0-f076-56e6-9ecf-6bebc86b262f,True,leaf outline with direct text candidate
117,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:c27c0cf701a42141,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,2c18ffa4-9554-58b4-8ced-e1d2b5aceae1,Manage VPN Pass-Through,Manage the WAN and LAN Network Settings > Manage VPN Pass-Through,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1041,1041,261,261,119,119,P3,0,0,0,3fbed70d-f242-5a78-90cc-f0f2674fe5f7,3fbed70d-f242-5a78-90cc-f0f2674fe5f7,d363d52d-99b4-4258-9e83-eca4fbdf4722:3fbed70d-f242-5a78-90cc-f0f2674fe5f7,True,leaf outline with direct text candidate
118,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:b41be80b197251ae,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,b0ebdf86-0ee2-5e13-81a1-07f188989e81,Manage NAT Filtering,Manage the WAN and LAN Network Settings > Manage NAT Filtering,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1395,1395,349,349,119,120,P3,0,0,0,40b4bd71-0112-5dcc-8407-4977f2278416,40b4bd71-0112-5dcc-8407-4977f2278416,d363d52d-99b4-4258-9e83-eca4fbdf4722:40b4bd71-0112-5dcc-8407-4977f2278416,True,leaf outline with direct text candidate
119,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:7ab9b7da4356c04e,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,f832cd2c-4625-53fd-8792-59d48cfa5ed4,Manage the SIP Application-Level Gateway,Manage the WAN and LAN Network Settings > Manage the SIP Application-Level Gateway,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,973,973,244,244,120,121,P3,0,0,0,b2b929c7-6625-5a91-b295-f5bcfed06e09,b2b929c7-6625-5a91-b295-f5bcfed06e09,d363d52d-99b4-4258-9e83-eca4fbdf4722:b2b929c7-6625-5a91-b295-f5bcfed06e09,True,leaf outline with direct text candidate
120,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:91af4542fc89cd8c,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,3c8772e2-0eea-5196-9b2c-77effcb9d2bd,Manage the LAN IP Address Settings,Manage the WAN and LAN Network Settings > Manage the LAN IP Address Settings,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1619,1619,405,405,121,122,P3,0,0,0,6d60f364-08eb-5ab8-b817-58f2ae142998,6d60f364-08eb-5ab8-b817-58f2ae142998,d363d52d-99b4-4258-9e83-eca4fbdf4722:6d60f364-08eb-5ab8-b817-58f2ae142998,True,leaf outline with direct text candidate
121,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:4df73e80b02589b4,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,c1fb5889-0ca3-581a-829a-e438d6f1f7fb,Manage the Router Information Protocol Settings,Manage the WAN and LAN Network Settings > Manage the Router Information Protocol Settings,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1629,1629,408,408,122,123,P3,0,0,0,0732bf6a-a336-508e-9aab-9bb2ea05195d,0732bf6a-a336-508e-9aab-9bb2ea05195d,d363d52d-99b4-4258-9e83-eca4fbdf4722:0732bf6a-a336-508e-9aab-9bb2ea05195d,True,leaf outline with direct text candidate
122,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:b319ddee58b35ca2,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,8bf397db-6e72-5d61-9641-dc8ff0f7586c,Manage the DHCP Server Address Pool,Manage the WAN and LAN Network Settings > Manage the DHCP Server Address Pool,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1836,1836,459,459,123,124,P3,0,0,0,e47b3d3d-859a-5d5d-ad99-c5e97e0e5866,e47b3d3d-859a-5d5d-ad99-c5e97e0e5866,d363d52d-99b4-4258-9e83-eca4fbdf4722:e47b3d3d-859a-5d5d-ad99-c5e97e0e5866,True,leaf outline with direct text candidate
123,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ea6e3cc21fd2f5d1,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,e4449871-b780-5c34-baa1-3bbf93d68192,Manage reserved LAN IP addresses,Manage the WAN and LAN Network Settings > Manage reserved LAN IP addresses,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,False,2,2,1,3,1,3,252,1627,63,407,124,125,P4,0,3,3,2fe2c800-86be-5e48-a3a1-bcf5a38250a9,2fe2c800-86be-5e48-a3a1-bcf5a38250a9;58705265-85c2-53cb-9a31-985904b45791;c9375949-fa5d-50d6-a813-d4c0d9974145,d363d52d-99b4-4258-9e83-eca4fbdf4722:2fe2c800-86be-5e48-a3a1-bcf5a38250a9,False,"parent outline, heading-only, or no structural text candidate"
124,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:0de6e3e5174dcafb,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,6ff04f8f-ae45-5845-9f7b-2c10bbf49bbd,Edit a reserved IP address,Manage the WAN and LAN Network Settings > Manage reserved LAN IP addresses > Edit a reserved IP address,Manage the WAN and LAN Network Settings > Manage reserved LAN IP addresses,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ea6e3cc21fd2f5d1,3,True,0,0,1,1,1,1,732,732,183,183,124,125,P4,0,1,1,58705265-85c2-53cb-9a31-985904b45791,58705265-85c2-53cb-9a31-985904b45791,d363d52d-99b4-4258-9e83-eca4fbdf4722:58705265-85c2-53cb-9a31-985904b45791,True,leaf outline with direct text candidate
125,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:977e1333afb2aaa1,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,24fd1e7f-fc7d-5134-a781-1c0a6a4979e6,Delete a reserved IP address entry,Manage the WAN and LAN Network Settings > Manage reserved LAN IP addresses > Delete a reserved IP address entry,Manage the WAN and LAN Network Settings > Manage reserved LAN IP addresses,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ea6e3cc21fd2f5d1,3,True,0,0,1,1,1,1,643,643,161,161,125,125,P4,0,1,1,c9375949-fa5d-50d6-a813-d4c0d9974145,c9375949-fa5d-50d6-a813-d4c0d9974145,d363d52d-99b4-4258-9e83-eca4fbdf4722:c9375949-fa5d-50d6-a813-d4c0d9974145,True,leaf outline with direct text candidate
126,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:b6bf8f8bb752f369,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,19e0c399-cde8-59b0-a238-f3e29bfa5b04,Disable the Built-In DHCP Server,Manage the WAN and LAN Network Settings > Disable the Built-In DHCP Server,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,1133,1133,284,284,125,126,P4,0,0,0,80e6eda0-2892-5cfd-949a-717b12f81332,80e6eda0-2892-5cfd-949a-717b12f81332,d363d52d-99b4-4258-9e83-eca4fbdf4722:80e6eda0-2892-5cfd-949a-717b12f81332,True,leaf outline with direct text candidate
127,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ad60c9927e01d74d,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,7e198d73-ba2e-5364-b7f0-349fbd811ece,Change the Router’s Device Name,Manage the WAN and LAN Network Settings > Change the Router’s Device Name,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,True,0,0,1,1,1,1,784,784,196,196,126,127,P4,0,0,0,4f7304d4-1472-5a82-8512-c3853e5ab437,4f7304d4-1472-5a82-8512-c3853e5ab437,d363d52d-99b4-4258-9e83-eca4fbdf4722:4f7304d4-1472-5a82-8512-c3853e5ab437,True,leaf outline with direct text candidate
128,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:74b0a78b5bc7a84b,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,43d950a7-c2a4-5d97-b139-1f2a6dd9b37d,Set Up and Manage Custom Static Routes,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,False,3,3,1,4,1,4,1506,4983,377,1247,127,130,P4,0,0,0,a1d1498c-86bf-5b9e-877c-7f81e61ffb07,a1d1498c-86bf-5b9e-877c-7f81e61ffb07;0af9a37b-b55e-5904-9be6-fe4fbad4271c;8e269a02-a216-5ac0-bfa3-4dc97d1a52d6;2c54b8a4-2815-5ad0-a55e-c353ee15b2c6,d363d52d-99b4-4258-9e83-eca4fbdf4722:a1d1498c-86bf-5b9e-877c-7f81e61ffb07,False,"parent outline, heading-only, or no structural text candidate"
129,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:5f99f2049744d18a,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,f3ff31fc-1e34-516a-bb9f-d17bcef81168,Set Up a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes > Set Up a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:74b0a78b5bc7a84b,3,True,0,0,1,1,1,1,1864,1864,466,466,128,129,P4,0,0,0,0af9a37b-b55e-5904-9be6-fe4fbad4271c,0af9a37b-b55e-5904-9be6-fe4fbad4271c,d363d52d-99b4-4258-9e83-eca4fbdf4722:0af9a37b-b55e-5904-9be6-fe4fbad4271c,True,leaf outline with direct text candidate
130,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:8e15b07b1543902f,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,84e75491-ca83-5ea9-99b7-0f9a1bdf6ab6,Change a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes > Change a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:74b0a78b5bc7a84b,3,True,0,0,1,1,1,1,876,876,219,219,129,129,P4,0,0,0,8e269a02-a216-5ac0-bfa3-4dc97d1a52d6,8e269a02-a216-5ac0-bfa3-4dc97d1a52d6,d363d52d-99b4-4258-9e83-eca4fbdf4722:8e269a02-a216-5ac0-bfa3-4dc97d1a52d6,True,leaf outline with direct text candidate
131,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:fa6050ab02bf832c,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,978ff2cc-3315-5baa-aeeb-092532ad22e6,Remove a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes > Remove a Static Route,Manage the WAN and LAN Network Settings > Set Up and Manage Custom Static Routes,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:74b0a78b5bc7a84b,3,True,0,0,1,1,1,1,737,737,185,185,130,130,P4,0,0,0,2c54b8a4-2815-5ad0-a55e-c353ee15b2c6,2c54b8a4-2815-5ad0-a55e-c353ee15b2c6,d363d52d-99b4-4258-9e83-eca4fbdf4722:2c54b8a4-2815-5ad0-a55e-c353ee15b2c6,True,leaf outline with direct text candidate
132,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ec01649979121729,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,aa8c3543-05ea-5e9a-a2c2-07e5d8c97c70,Set Up a Bridge for a Port Group or VLAN Tag Group,Manage the WAN and LAN Network Settings > Set Up a Bridge for a Port Group or VLAN Tag Group,Manage the WAN and LAN Network Settings,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:60da872f3e016957,2,False,2,2,1,3,1,3,485,4467,122,1118,130,133,P4,0,0,0,0c80bfa0-c243-53e3-8ba1-8ef14df71c4b,0c80bfa0-c243-53e3-8ba1-8ef14df71c4b;92de127d-5c3f-5d2a-a801-234fc3e5b014;1ff96edd-9a3b-5993-87c7-dc20a71f4ddf,d363d52d-99b4-4258-9e83-eca4fbdf4722:0c80bfa0-c243-53e3-8ba1-8ef14df71c4b,False,"parent outline, heading-only, or no structural text candidate"
133,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:5283c300a58533cf,d363d52d-99b4-4258-9e83-eca4fbdf4722,netgear-r6350.pdf,R6350,376b37ac-f978-596a-81ad-0b1f58adbf88,Set Up a Bridge for a Port Group,Manage the WAN and LAN Network Settings > Set Up a Bridge for a Port Group or VLAN Tag Group > Set Up a Bridge for a Port Group,Manage the WAN and LAN Network Settings > Set Up a Bridge for a Port Group or VLAN Tag Group,d363d52d-99b4-4258-9e83-eca4fbdf4722:OUTLINE:ec01649979121729,3,True,0,0,1,1,1,1,1679,1679,420,420,131,131,P4,0,0,0,92de127d-5c3f-5d2a-a801-234fc3e5b014,92de127d-5c3f-5d2a-a801-234fc3e5b014,d363d52d-99b4-4258-9e83-eca4fbdf4722:92de127d-5c3f-5d2a-a801-234fc3e5b014,True,leaf outline with direct text candidate
